"Region","RegionName","State","ForecastYoYPctChange","MSAName","CountyName","CityName"
"MSA","Boulder, CO","CO",3.47905142494044,"Boulder, CO",NA,NA
"MSA","Bowling Green, KY","KY",3.36745412356518,"Bowling Green, KY",NA,NA
"MSA","Stamford, CT","CT",2.87377265218317,"Stamford, CT",NA,NA
"MSA","Brownsville, TX","TX",4.79093503321013,"Brownsville, TX",NA,NA
"MSA","Brunswick, GA","GA",1.62410193757065,"Brunswick, GA",NA,NA
"MSA","Buffalo, NY","NY",4.46607835340932,"Buffalo, NY",NA,NA
"MSA","Burlington, NC","NC",3.01836921401583,"Burlington, NC",NA,NA
"MSA","Burlington, VT","VT",3.21277092071343,"Burlington, VT",NA,NA
"MSA","Canton, OH","OH",2.66563625081593,"Canton, OH",NA,NA
"MSA","Fort Myers, FL","FL",0.917710742607393,"Fort Myers, FL",NA,NA
"MSA","Cape Girardeau, MO","MO",3.05519396543774,"Cape Girardeau, MO",NA,NA
"MSA","Carson City, NV","NV",7.87974291280669,"Carson City, NV",NA,NA
"MSA","Casper, WY","WY",-1.20734325988581,"Casper, WY",NA,NA
"MSA","Cedar Rapids, IA","IA",3.37170639649024,"Cedar Rapids, IA",NA,NA
"MSA","Champaign-Urbana, IL","IL",2.05468452667368,"Champaign-Urbana, IL",NA,NA
"MSA","Charleston, WV","WV",3.54261891820874,"Charleston, WV",NA,NA
"MSA","Charlotte, NC","NC",2.98247486589272,"Charlotte, NC",NA,NA
"MSA","Charlottesville, VA","VA",2.49884762284661,"Charlottesville, VA",NA,NA
"MSA","Chattanooga, TN","TN",3.34456470995372,"Chattanooga, TN",NA,NA
"MSA","Cheyenne, WY","WY",2.96569593392257,"Cheyenne, WY",NA,NA
"MSA","Chicago, IL","IL",2.6104507459207,"Chicago, IL",NA,NA
"MSA","Chico, CA","CA",3.89246215490355,"Chico, CA",NA,NA
"MSA","Cincinnati, OH","OH",2.73724599708964,"Cincinnati, OH",NA,NA
"MSA","Clarksville, TN","TN",3.41233298891593,"Clarksville, TN",NA,NA
"MSA","Cleveland, TN","TN",2.5453991440127,"Cleveland, TN",NA,NA
"MSA","Cleveland, OH","OH",1.78584889251224,"Cleveland, OH",NA,NA
"MSA","College Station, TX","TX",3.64065432734918,"College Station, TX",NA,NA
"MSA","Colorado Springs, CO","CO",3.51383439710238,"Colorado Springs, CO",NA,NA
"MSA","Columbia, MO","MO",2.04101789780361,"Columbia, MO",NA,NA
"MSA","Columbia, SC","SC",3.38284496070086,"Columbia, SC",NA,NA
"MSA","Columbus, GA","GA",3.57894457192929,"Columbus, GA",NA,NA
"MSA","Columbus, IN","IN",2.51227239540944,"Columbus, IN",NA,NA
"MSA","Columbus, OH","OH",2.98184235455619,"Columbus, OH",NA,NA
"MSA","Corvallis, OR","OR",4.0102085295468,"Corvallis, OR",NA,NA
"MSA","Cumberland, MD","MD",0.557933439507123,"Cumberland, MD",NA,NA
"MSA","Dallas-Fort Worth, TX","TX",4.37374151194478,"Dallas-Fort Worth, TX",NA,NA
"MSA","Dalton, GA","GA",2.70500329037958,"Dalton, GA",NA,NA
"MSA","Danville, VA","VA",3.18851379263619,"Danville, VA",NA,NA
"MSA","Davenport, IL","IA",2.52278708041118,"Davenport, IA",NA,NA
"MSA","Dayton, OH","OH",2.08124206820053,"Dayton, OH",NA,NA
"MSA","Daytona Beach, FL","FL",3.84608691249066,"Daytona Beach, FL",NA,NA
"MSA","Denver, CO","CO",3.28777197157984,"Denver, CO",NA,NA
"MSA","Des Moines, IA","IA",2.73974563275627,"Des Moines, IA",NA,NA
"MSA","Detroit, MI","MI",3.15586521629731,"Detroit, MI",NA,NA
"MSA","Dover, DE","DE",2.04959983769696,"Dover, DE",NA,NA
"MSA","Duluth, MN","MN",2.91466140133234,"Duluth, MN",NA,NA
"MSA","Durham, NC","NC",2.8977837945291,"Durham, NC",NA,NA
"MSA","Eau Claire, WI","WI",2.70779187693758,"Eau Claire, WI",NA,NA
"MSA","El Centro, CA","CA",5.26480573701904,"El Centro, CA",NA,NA
"MSA","El Paso, TX","TX",2.71935860855277,"El Paso, TX",NA,NA
"MSA","Elizabethtown, KY","KY",3.84913472711238,"Elizabethtown, KY",NA,NA
"MSA","Elkhart, IN","IN",1.35799594229366,"Elkhart, IN",NA,NA
"MSA","Elmira, NY","NY",2.38807193669839,"Elmira, NY",NA,NA
"MSA","Erie, PA","PA",2.81366129303214,"Erie, PA",NA,NA
"MSA","Eugene, OR","OR",2.59015701430079,"Eugene, OR",NA,NA
"MSA","Evansville, IN","IN",2.38128412023636,"Evansville, IN",NA,NA
"MSA","Fairbanks, AK","AK",5.67705155899527,"Fairbanks, AK",NA,NA
"MSA","Fargo, ND","ND",2.3971454948883,"Fargo, ND",NA,NA
"MSA","Fayetteville, NC","NC",2.21562969216578,"Fayetteville, NC",NA,NA
"MSA","Fayetteville, AR","AR",3.03757513101533,"Fayetteville, AR",NA,NA
"MSA","Flagstaff, AZ","AZ",1.92148005351837,"Flagstaff, AZ",NA,NA
"MSA","Flint, MI","MI",3.19206135641371,"Flint, MI",NA,NA
"MSA","Florence, SC","SC",2.33437576345629,"Florence, SC",NA,NA
"MSA","Fond du Lac, WI","WI",3.42026207200876,"Fond du Lac, WI",NA,NA
"MSA","Fort Collins, CO","CO",3.4025807855135,"Fort Collins, CO",NA,NA
"MSA","Fort Smith, AR","AR",3.74920400402709,"Fort Smith, AR",NA,NA
"MSA","Fort Wayne, IN","IN",2.32484092733978,"Fort Wayne, IN",NA,NA
"MSA","Fresno, CA","CA",4.53281208254348,"Fresno, CA",NA,NA
"MSA","Gadsden, AL","AL",6.2526928277108,"Gadsden, AL",NA,NA
"MSA","Gainesville, FL","FL",2.69851750513637,"Gainesville, FL",NA,NA
"MSA","Gainesville, GA","GA",2.85801996621554,"Gainesville, GA",NA,NA
"MSA","Glens Falls, NY","NY",1.92153281144577,"Glens Falls, NY",NA,NA
"MSA","Grand Junction, CO","CO",1.86689079300053,"Grand Junction, CO",NA,NA
"MSA","Grand Rapids, MI","MI",3.16791928768623,"Grand Rapids, MI",NA,NA
"MSA","Great Falls, MT","MT",3.19031122681085,"Great Falls, MT",NA,NA
"MSA","Greeley, CO","CO",3.88853361872876,"Greeley, CO",NA,NA
"MSA","Green Bay, WI","WI",3.74092443998801,"Green Bay, WI",NA,NA
"MSA","Greensboro, NC","NC",3.09417913027077,"Greensboro, NC",NA,NA
"MSA","Greenville, SC","SC",3.1685124476258,"Greenville, SC",NA,NA
"MSA","Gulfport, MS","MS",2.85237806814185,"Gulfport, MS",NA,NA
"MSA","Hagerstown, MD","WV",2.55127100827964,"Hagerstown, WV",NA,NA
"MSA","Hanford, CA","CA",6.67949260555215,"Hanford, CA",NA,NA
"MSA","Harrisburg, PA","PA",1.75546326078097,"Harrisburg, PA",NA,NA
"MSA","Harrisonburg, VA","VA",3.46015228850312,"Harrisonburg, VA",NA,NA
"MSA","Hartford, CT","CT",0.979818718025126,"Hartford, CT",NA,NA
"MSA","Hattiesburg, MS","MS",2.52703124803019,"Hattiesburg, MS",NA,NA
"MSA","Hickory, NC","NC",2.85599212853205,"Hickory, NC",NA,NA
"MSA","Hinesville, GA","GA",-1.83315501276019,"Hinesville, GA",NA,NA
"MSA","Hot Springs, AR","AR",3.57363379208683,"Hot Springs, AR",NA,NA
"MSA","Houma, LA","LA",2.5178676143148,"Houma, LA",NA,NA
"MSA","Houston, TX","TX",1.54300900888979,"Houston, TX",NA,NA
"MSA","Huntington, WV","WV",4.34655253093959,"Huntington, WV",NA,NA
"MSA","Huntsville, AL","AL",2.33828671085119,"Huntsville, AL",NA,NA
"MSA","Idaho Falls, ID","ID",5.52257372942367,"Idaho Falls, ID",NA,NA
"MSA","Indianapolis, IN","IN",2.96891732605905,"Indianapolis, IN",NA,NA
"MSA","Ithaca, NY","NY",3.53602443075307,"Ithaca, NY",NA,NA
"MSA","Jackson, MI","MI",2.51857352308045,"Jackson, MI",NA,NA
"MSA","Jackson, MS","MS",2.94840724709569,"Jackson, MS",NA,NA
"MSA","Jackson, TN","TN",3.87748177482297,"Jackson, TN",NA,NA
"MSA","Jacksonville, FL","FL",3.01267747275498,"Jacksonville, FL",NA,NA
"MSA","Jacksonville, NC","NC",0.982236345596308,"Jacksonville, NC",NA,NA
"MSA","Janesville, WI","WI",2.77528604754998,"Janesville, WI",NA,NA
"MSA","Jefferson City, MO","MO",3.74580583412845,"Jefferson City, MO",NA,NA
"MSA","Johnson City, TN","TN",2.39758650357849,"Johnson City, TN",NA,NA
"MSA","Jonesboro, AR","AR",5.23994476202737,"Jonesboro, AR",NA,NA
"MSA","Joplin, MO","MO",3.5882391241097,"Joplin, MO",NA,NA
"MSA","Kalamazoo, MI","MI",2.55850133501221,"Kalamazoo, MI",NA,NA
"MSA","Kankakee, IL","IL",2.81849196230773,"Kankakee, IL",NA,NA
"MSA","Kansas City, MO","MO",2.92648187059178,"Kansas City, MO",NA,NA
"MSA","Kennewick, WA","WA",6.21508268646944,"Kennewick, WA",NA,NA
"MSA","Killeen, TX","TX",3.51391390930415,"Killeen, TX",NA,NA
"MSA","Kingsport, TN","TN",2.93611396983549,"Kingsport, TN",NA,NA
"MSA","Kingston, NY","NY",2.5578349430351,"Kingston, NY",NA,NA
"MSA","Knoxville, TN","TN",3.04092554500997,"Knoxville, TN",NA,NA
"MSA","Kokomo, IN","IN",3.46741208855669,"Kokomo, IN",NA,NA
"MSA","La Crosse, WI","WI",3.8788036310376,"La Crosse, WI",NA,NA
"MSA","Lafayette, LA","LA",2.88591328118995,"Lafayette, LA",NA,NA
"MSA","Lake Charles, LA","LA",1.20473309927465,"Lake Charles, LA",NA,NA
"MSA","Lake Havasu City, AZ","AZ",2.60538274017239,"Lake Havasu City, AZ",NA,NA
"MSA","Lakeland, FL","FL",4.23032135004703,"Lakeland, FL",NA,NA
"MSA","Lancaster, PA","PA",2.1197074698,"Lancaster, PA",NA,NA
"MSA","Lansing, MI","MI",3.61294867920373,"Lansing, MI",NA,NA
"MSA","Laredo, TX","TX",3.6494058521642,"Laredo, TX",NA,NA
"MSA","Las Cruces, NM","NM",2.80716304474964,"Las Cruces, NM",NA,NA
"MSA","Las Vegas, NV","NV",4.7858930965574,"Las Vegas, NV",NA,NA
"MSA","Lawrence, KS","KS",2.25866245556445,"Lawrence, KS",NA,NA
"MSA","Lebanon, PA","PA",3.52987891623052,"Lebanon, PA",NA,NA
"MSA","Lewiston, ID","ID",3.58643021357218,"Lewiston, ID",NA,NA
"MSA","Lexington, KY","KY",3.10453395961158,"Lexington, KY",NA,NA
"MSA","Lima, OH","OH",2.63973806786488,"Lima, OH",NA,NA
"MSA","Lincoln, NE","NE",3.12936699351083,"Lincoln, NE",NA,NA
"MSA","Little Rock, AR","AR",2.86119908147476,"Little Rock, AR",NA,NA
"MSA","Longview, WA","WA",3.44096186875571,"Longview, WA",NA,NA
"MSA","Louisville-Jefferson County, KY","KY",2.46166714706059,"Louisville/Jefferson County, KY",NA,NA
"MSA","Lynchburg, VA","VA",1.76159935880851,"Lynchburg, VA",NA,NA
"MSA","Macon, GA","GA",4.74978808612526,"Macon, GA",NA,NA
"MSA","Madera, CA","CA",8.16929678440864,"Madera, CA",NA,NA
"MSA","Madison, WI","WI",3.14696825012015,"Madison, WI",NA,NA
"MSA","Manchester, NH","NH",4.10906226296747,"Manchester, NH",NA,NA
"MSA","Mankato, MN","MN",3.09694050472807,"Mankato, MN",NA,NA
"MSA","Mansfield, OH","OH",2.92430394101635,"Mansfield, OH",NA,NA
"MSA","Medford, OR","OR",4.23287412854129,"Medford, OR",NA,NA
"MSA","Memphis, TN","TN",4.75383796498247,"Memphis, TN",NA,NA
"MSA","Merced, CA","CA",2.83066212095188,"Merced, CA",NA,NA
"MSA","Miami-Fort Lauderdale, FL","FL",0.556124762253696,"Miami-Fort Lauderdale, FL",NA,NA
"MSA","Midland, TX","TX",3.50890178636594,"Midland, TX",NA,NA
"MSA","Milwaukee, WI","WI",1.99026822389845,"Milwaukee, WI",NA,NA
"MSA","Minneapolis-St Paul, MN","MN",3.481662623323,"Minneapolis-St Paul, MN",NA,NA
"MSA","Missoula, MT","MT",0.648929485034164,"Missoula, MT",NA,NA
"MSA","Mobile, AL","AL",2.16890339638615,"Mobile, AL",NA,NA
"MSA","Modesto, CA","CA",4.13597435885154,"Modesto, CA",NA,NA
"MSA","Monroe, MI","MI",2.58144502043311,"Monroe, MI",NA,NA
"MSA","Montgomery, AL","AL",2.93939320813001,"Montgomery, AL",NA,NA
"MSA","Morristown, TN","TN",2.26689739608069,"Morristown, TN",NA,NA
"MSA","Mount Vernon, WA","WA",4.67026781434186,"Mount Vernon, WA",NA,NA
"MSA","Muncie, IN","IN",2.74117255261607,"Muncie, IN",NA,NA
"MSA","Muskegon, MI","MI",3.39009387832072,"Muskegon, MI",NA,NA
"MSA","Myrtle Beach, SC","SC",1.73158550980207,"Myrtle Beach, SC",NA,NA
"MSA","Napa, CA","CA",1.36400386492222,"Napa, CA",NA,NA
"MSA","Naples, FL","FL",0.0741055697635966,"Naples, FL",NA,NA
"MSA","Nashville, TN","TN",3.23975704101646,"Nashville, TN",NA,NA
"MSA","New Haven, CT","CT",2.00389683077802,"New Haven, CT",NA,NA
"MSA","New York, NY","NY",3.80760688620096,"New York, NY",NA,NA
"MSA","Niles, MI","MI",2.14507050223666,"Niles, MI",NA,NA
"MSA","New London, CT","CT",1.71055386875721,"New London, CT",NA,NA
"MSA","Ocala, FL","FL",3.85721809490861,"Ocala, FL",NA,NA
"MSA","Ocean City, NJ","NJ",3.89194892457304,"Ocean City, NJ",NA,NA
"MSA","Ogden, UT","UT",3.0573438816221,"Ogden, UT",NA,NA
"MSA","Oklahoma City, OK","OK",3.12380532200751,"Oklahoma City, OK",NA,NA
"MSA","Olympia, WA","WA",3.87980011940542,"Olympia, WA",NA,NA
"MSA","Omaha, NE","NE",2.81958121804058,"Omaha, NE",NA,NA
"MSA","Orlando, FL","FL",3.81312493165463,"Orlando, FL",NA,NA
"MSA","Oshkosh, WI","WI",3.46407751510856,"Oshkosh, WI",NA,NA
"MSA","Ventura, CA","CA",3.11811675884749,"Ventura, CA",NA,NA
"MSA","Melbourne, FL","FL",3.15878164541329,"Melbourne, FL",NA,NA
"MSA","Panama City, FL","FL",-0.877033662655111,"Panama City, FL",NA,NA
"MSA","Pensacola, FL","FL",2.0900403106591,"Pensacola, FL",NA,NA
"MSA","Peoria, IL","IL",2.58217733527959,"Peoria, IL",NA,NA
"MSA","Philadelphia, PA","PA",2.26826928314657,"Philadelphia, PA",NA,NA
"MSA","Phoenix, AZ","AZ",1.74676065827422,"Phoenix, AZ",NA,NA
"MSA","Pine Bluff, AR","AR",4.21867850410646,"Pine Bluff, AR",NA,NA
"MSA","Pittsburgh, PA","PA",2.54782187424685,"Pittsburgh, PA",NA,NA
"MSA","Pittsfield, MA","MA",0.870795130716491,"Pittsfield, MA",NA,NA
"MSA","Port St. Lucie, FL","FL",4.256794479616,"Port St. Lucie, FL",NA,NA
"MSA","Portland, OR","OR",2.65437340984896,"Portland, OR",NA,NA
"MSA","Prescott, AZ","AZ",1.00023827876207,"Prescott, AZ",NA,NA
"MSA","Providence, RI","RI",3.93713548954967,"Providence, RI",NA,NA
"MSA","Provo, UT","UT",3.42373878320241,"Provo, UT",NA,NA
"MSA","Pueblo, CO","CO",5.29421312541606,"Pueblo, CO",NA,NA
"MSA","Punta Gorda, FL","FL",2.49800308812313,"Punta Gorda, FL",NA,NA
"MSA","Racine, WI","WI",2.9167509259838,"Racine, WI",NA,NA
"MSA","Raleigh, NC","NC",4.40417573360435,"Raleigh, NC",NA,NA
"MSA","Reading, PA","PA",2.80049379234023,"Reading, PA",NA,NA
"MSA","Redding, CA","CA",3.19124359633073,"Redding, CA",NA,NA
"MSA","Reno, NV","NV",1.10996601118443,"Reno, NV",NA,NA
"MSA","Richmond, VA","VA",2.53562765323639,"Richmond, VA",NA,NA
"MSA","Riverside, CA","CA",3.80548298847265,"Riverside, CA",NA,NA
"MSA","Roanoke, VA","VA",2.36053650789454,"Roanoke, VA",NA,NA
"MSA","Rochester, MN","MN",5.82032945419629,"Rochester, MN",NA,NA
"MSA","Rochester, NY","NY",3.79670715525142,"Rochester, NY",NA,NA
"MSA","Rockford, IL","IL",3.44654540302221,"Rockford, IL",NA,NA
"MSA","Rocky Mount, NC","NC",3.2109263076383,"Rocky Mount, NC",NA,NA
"MSA","Rome, GA","GA",0.764670294190805,"Rome, GA",NA,NA
"MSA","Sacramento, CA","CA",4.67846652225524,"Sacramento, CA",NA,NA
"MSA","Saginaw, MI","MI",5.21575838957995,"Saginaw, MI",NA,NA
"MSA","Salem, OR","OR",4.95285300561074,"Salem, OR",NA,NA
"MSA","Salinas, CA","CA",3.98997473723482,"Salinas, CA",NA,NA
"MSA","Salisbury, MD","MD",2.81547055161309,"Salisbury, MD",NA,NA
"MSA","Salt Lake City, UT","UT",2.88127361414994,"Salt Lake City, UT",NA,NA
"MSA","San Angelo, TX","TX",3.31731188851472,"San Angelo, TX",NA,NA
"MSA","San Antonio, TX","TX",3.00880197716711,"San Antonio, TX",NA,NA
"MSA","San Diego, CA","CA",0.909898652703763,"San Diego, CA",NA,NA
"MSA","San Francisco, CA","CA",0.594056016045533,"San Francisco, CA",NA,NA
"MSA","San Jose, CA","CA",0.930638638478973,"San Jose, CA",NA,NA
"MSA","San Luis Obispo, CA","CA",2.13332156175524,"San Luis Obispo, CA",NA,NA
"MSA","Sandusky, OH","OH",2.47584378917984,"Sandusky, OH",NA,NA
"MSA","Santa Cruz, CA","CA",0.74415492162806,"Santa Cruz, CA",NA,NA
"MSA","Santa Fe, NM","NM",-1.12322507225164,"Santa Fe, NM",NA,NA
"MSA","Santa Rosa, CA","CA",0.237186628848061,"Santa Rosa, CA",NA,NA
"MSA","Savannah, GA","GA",2.13617314310204,"Savannah, GA",NA,NA
"MSA","Scranton, PA","PA",2.39610510977797,"Scranton, PA",NA,NA
"MSA","Seattle, WA","WA",4.83310313477758,"Seattle, WA",NA,NA
"MSA","Vero Beach, FL","FL",3.71076159808502,"Vero Beach, FL",NA,NA
"MSA","Shreveport, LA","LA",2.18423296616317,"Shreveport, LA",NA,NA
"MSA","South Bend, IN","IN",1.79087320651051,"South Bend, IN",NA,NA
"MSA","Spartanburg, SC","SC",3.01955887924662,"Spartanburg, SC",NA,NA
"MSA","Spokane, WA","WA",3.30665020526509,"Spokane, WA",NA,NA
"MSA","Springfield, IL","IL",3.41789780738591,"Springfield, IL",NA,NA
"MSA","Springfield, MA","MA",3.50963292171489,"Springfield, MA",NA,NA
"MSA","Springfield, MO","MO",2.45168499720679,"Springfield, MO",NA,NA
"MSA","Springfield, OH","OH",2.69147691690288,"Springfield, OH",NA,NA
"MSA","St. George, UT","UT",1.98269079601899,"St. George, UT",NA,NA
"MSA","St. Joseph, MO","MO",4.26067116490297,"St. Joseph, MO",NA,NA
"MSA","St. Louis, MO","MO",1.47926745093846,"St. Louis, MO",NA,NA
"MSA","State College, PA","PA",3.71130968584612,"State College, PA",NA,NA
"MSA","Stockton, CA","CA",6.55562525363369,"Stockton, CA",NA,NA
"MSA","Sumter, SC","SC",2.90962451587667,"Sumter, SC",NA,NA
"MSA","Syracuse, NY","NY",1.62854280202283,"Syracuse, NY",NA,NA
"MSA","Tallahassee, FL","FL",1.7860215137512,"Tallahassee, FL",NA,NA
"MSA","Tampa, FL","FL",3.15417155305244,"Tampa, FL",NA,NA
"MSA","Terre Haute, IN","IN",3.6377774410445,"Terre Haute, IN",NA,NA
"MSA","Texarkana, TX","TX",5.23993824160081,"Texarkana, TX",NA,NA
"MSA","Toledo, OH","OH",1.66883798286006,"Toledo, OH",NA,NA
"MSA","Topeka, KS","KS",3.48997726868667,"Topeka, KS",NA,NA
"MSA","Trenton, NJ","NJ",1.53454692438096,"Trenton, NJ",NA,NA
"MSA","Tucson, AZ","AZ",4.0520219875909,"Tucson, AZ",NA,NA
"MSA","Tulsa, OK","OK",3.12498770322291,"Tulsa, OK",NA,NA
"MSA","Tuscaloosa, AL","AL",-0.525128437531811,"Tuscaloosa, AL",NA,NA
"MSA","Utica, NY","NY",2.76237635018623,"Utica, NY",NA,NA
"MSA","Valdosta, GA","GA",2.67734887187924,"Valdosta, GA",NA,NA
"MSA","Vallejo, CA","CA",2.61520537426512,"Vallejo, CA",NA,NA
"MSA","Vineland, NJ","NJ",0.81760235345378,"Vineland, NJ",NA,NA
"MSA","Virginia Beach, VA","VA",1.18458060524711,"Virginia Beach, VA",NA,NA
"MSA","Visalia, CA","CA",3.94660274273078,"Visalia, CA",NA,NA
"MSA","Warner Robins, GA","GA",2.84407170966471,"Warner Robins, GA",NA,NA
"MSA","Washington, DC","VA",1.22293877600268,"Washington, VA",NA,NA
"MSA","Wenatchee, WA","WA",4.11677914402016,"Wenatchee, WA",NA,NA
"MSA","Wheeling, OH","OH",3.38395368167117,"Wheeling, OH",NA,NA
"MSA","Williamsport, PA","PA",4.1713494027088,"Williamsport, PA",NA,NA
"MSA","Wilmington, NC","NC",3.16713842980694,"Wilmington, NC",NA,NA
"MSA","Winchester, VA","VA",2.928254607808,"Winchester, VA",NA,NA
"MSA","Winston-Salem, NC","NC",3.49706344699455,"Winston-Salem, NC",NA,NA
"MSA","Worcester, MA","MA",2.70377167228192,"Worcester, MA",NA,NA
"MSA","Yakima, WA","WA",5.79298767237239,"Yakima, WA",NA,NA
"MSA","York, PA","PA",3.00385966389873,"York, PA",NA,NA
"MSA","Youngstown, OH","OH",1.72471729317699,"Youngstown, OH",NA,NA
"MSA","Yuba City, CA","CA",6.8482750277757,"Yuba City, CA",NA,NA
"MSA","Yuma, AZ","AZ",2.20594071707114,"Yuma, AZ",NA,NA
"MSA","Bloomington, IL","IL",4.20061152513227,"Bloomington, IL",NA,NA
"MSA","Crestview-Fort Walton Beach-Destin, FL","FL",1.0592866430668,"Crestview-Fort Walton Beach-Destin, FL",NA,NA
"MSA","Holland, MI","MI",2.60685349143032,"Holland, MI",NA,NA
"MSA","Lafayette-West Lafayette, IN","IN",2.69469714178149,"Lafayette-West Lafayette, IN",NA,NA
"MSA","Los Angeles-Long Beach-Anaheim, CA","CA",0.785141650959486,"Los Angeles-Long Beach-Anaheim, CA",NA,NA
"MSA","North Port-Sarasota-Bradenton, FL","FL",0.0869637517761197,"North Port-Sarasota-Bradenton, FL",NA,NA
"MSA","Santa Maria-Santa Barbara, CA","CA",2.00477049927538,"Santa Maria-Santa Barbara, CA",NA,NA
"MSA","Urban Honolulu, HI","HI",3.4090692529937,"Urban Honolulu, HI",NA,NA
"County","Ada","ID",3.67931124442133,"Boise City, ID","Ada",NA
"County","Bay","FL",-0.862131271806286,"Panama City, FL","Bay",NA
"County","Bay","MI",2.46156969102003,"Bay City, MI","Bay",NA
"County","Gem","ID",2.31859027580816,"Boise City, ID","Gem",NA
"County","Lee","FL",0.917710742607406,"Fort Myers, FL","Lee",NA
"County","Lee","GA",3.24373636998653,"Albany, GA","Lee",NA
"County","Bell","TX",3.58505922751029,"Killeen, TX","Bell",NA
"County","Bibb","GA",4.31663377243315,"Macon, GA","Bibb",NA
"County","Boyd","KY",4.64808249148391,"Huntington, KY","Boyd",NA
"County","Cass","MI",2.18991231311423,"South Bend, MI","Cass",NA
"County","Cass","MO",2.60666489054666,"Kansas City, MO","Cass",NA
"County","Cass","ND",3.11075770046712,"Fargo, ND","Cass",NA
"County","Clay","FL",2.38340297759566,"Jacksonville, FL","Clay",NA
"County","Clay","IN",4.08225024844293,"Terre Haute, IN","Clay",NA
"County","Clay","MN",0.608333150589252,"Fargo, MN","Clay",NA
"County","Clay","MO",2.83683163304103,"Kansas City, MO","Clay",NA
"County","Cobb","GA",3.66558463568665,"Atlanta, GA","Cobb",NA
"County","Cole","MO",3.09094477597696,"Jefferson City, MO","Cole",NA
"County","Cook","IL",2.89009689345875,"Chicago, IL","Cook",NA
"County","Dane","WI",3.09378405924026,"Madison, WI","Dane",NA
"County","Erie","OH",2.47584378917984,"Sandusky, OH","Erie",NA
"County","Erie","PA",2.81366129303216,"Erie, PA","Erie",NA
"County","Hall","GA",2.85801996621552,"Gainesville, GA","Hall",NA
"County","Hays","TX",2.97259310681745,"Austin, TX","Hays",NA
"County","Hoke","NC",1.67222555179933,"Fayetteville, NC","Hoke",NA
"County","Hunt","TX",3.0249090377552,"Dallas-Fort Worth, TX","Hunt",NA
"County","Kane","IL",2.61720865470729,"Chicago, IL","Kane",NA
"County","Kent","DE",2.04959983769696,"Dover, DE","Kent",NA
"County","Kent","MI",3.17908171779138,"Grand Rapids, MI","Kent",NA
"County","Kent","RI",4.04872325854067,"Providence, RI","Kent",NA
"County","Kern","CA",3.45466758118949,"Bakersfield, CA","Kern",NA
"County","King","WA",5.27129052346607,"Seattle, WA","King",NA
"County","Knox","TN",3.04415019690813,"Knoxville, TN","Knox",NA
"County","Lake","FL",3.67807808812588,"Orlando, FL","Lake",NA
